keyword,search_volume,competition,competition_index,cpc,low_top_of_page_bid,high_top_of_page_bid
cacao nibs,33100,HIGH,99,0.56,0.13,2.7
fair trade cocoa,9900,MEDIUM,42,3.58,0.51,4.56
ceremonial cacao,8100,HIGH,100,2.92,0.85,3.61
raw cacao beans,3600,HIGH,67,0.76,0.31,1.74
cocoa nibs raw,2900,HIGH,100,0.71,0.15,1.87
raw cacao nibs,2900,HIGH,100,0.71,0.15,1.87
unsweetened cacao nibs,2900,MEDIUM,39,0.27,0.17,0.98
cacao nibs organic,1900,HIGH,100,1.31,0.37,3.28
organic cacao nibs,1900,HIGH,100,1.31,0.37,3.28
cacao beans for sale,1300,HIGH,100,0.89,0.25,2.08
cocoa origin,1300,LOW,4,0.98,0.07,1.21
organic fair trade cacao powder,1000,MEDIUM,37,0.77,0.38,2.86
bulk cocoa powder,880,HIGH,100,1.83,0.73,3.69
cacao paste,880,HIGH,100,1.7,0.41,2.41
organic cacao beans,720,MEDIUM,59,1.08,0.3,2.37
best ceremonial cacao,480,HIGH,100,3.26,0.8,4.94
ceremonial cacao powder,480,HIGH,99,2.44,0.47,3.67
cocoa nibs where to buy,480,HIGH,100,0.37,0.14,1.29
origin cacao,480,LOW,9,1.01,0.35,1.9
cacao chips,390,HIGH,100,0.47,0.2,0.91
ceremonial cacao near me,390,HIGH,100,1.09,0.48,2.35
bulk cacao nibs,320,HIGH,100,3.94,1.05,6.61
cacao nibs sweetened,320,HIGH,100,0.32,0.3,2.2
chocolate beans bulk,320,HIGH,100,3.94,1.05,6.61
cocoa nibs bulk,320,HIGH,100,3.94,1.05,6.61
sweet cacao nibs,320,HIGH,100,0.32,0.3,2.2
sweetened cacao nibs,320,HIGH,100,0.32,0.3,2.2
sweetened cocoa nibs,320,HIGH,100,0.32,0.3,2.2
bulk baking cocoa,260,HIGH,99,1.83,0.53,3.01
cacao nibs vegan,260,LOW,13,0.25,,
fair trade cocoa powder,260,HIGH,99,2.09,0.42,4.01
fairtrade cocoa powder,260,HIGH,99,2.09,0.42,4.01
organic raw cacao nibs,260,HIGH,100,1.44,0.32,2.35
bulk cacao powder,210,HIGH,100,3.01,0.66,3
cacao nibs wholesale,210,HIGH,100,3.78,1.23,6.65
ceremonial cacao paste,210,HIGH,78,2.85,0.7,3.01
cocoa nibs wholesale,210,HIGH,100,3.78,1.23,6.65
organic fair trade cocoa,210,HIGH,100,2.87,1.32,3.95
wholesale cacao,210,HIGH,100,3.78,1.23,6.65
wholesale cacao beans,210,HIGH,100,3.78,1.23,6.65
wholesale cocoa beans,210,HIGH,100,3.78,1.23,6.65
bulk hot cocoa powder,170,HIGH,100,1.28,0.3,3.99
organic ceremonial cacao,170,HIGH,99,2.67,1.36,4.6
raw cacao beans for sale,170,HIGH,100,0.88,0.24,1.36
raw cacao paste,170,MEDIUM,54,2,0.33,2.33
raw chocolate nibs,170,HIGH,100,0.71,0.22,2.44
sacred cacao,170,HIGH,100,1.86,0.71,2.01
bulk organic cacao powder,140,HIGH,100,3.03,0.72,3.81
bulk organic cocoa powder,140,HIGH,100,3.03,0.72,3.81
cacao trade,140,LOW,12,0.01,,
ceremonial cacao ceremony,140,HIGH,70,0.62,0.32,1.91
cocoa brazil,140,LOW,27,0.28,,
fair trade cacao,140,HIGH,85,4.69,1.22,4.93
fair trade cocoa beans,140,HIGH,85,4.69,1.22,4.93
bulk dutch cocoa powder,110,HIGH,100,2.42,0.42,2.82
ceremonial cacao block,110,HIGH,99,2.37,0.74,3.2
ceremonial chocolate,110,HIGH,100,3.78,0.97,3.39
cocoa powder wholesale,110,HIGH,100,2.52,1.44,6.27
organic raw cacao beans,110,HIGH,73,0.94,0.24,1.34
single origin cacao,110,HIGH,95,1.78,1.14,2.08
single origin cocoa,110,HIGH,95,1.78,1.14,2.08
single origin cocoa beans,110,HIGH,95,1.78,1.14,2.08
wholesale cacao powder,110,HIGH,100,2.52,1.44,6.27
buy cacao nibs,90,HIGH,100,1.13,0.33,3.76
cacao nibs for sale,90,HIGH,100,0.82,0.25,2.1
chocolate nibs for sale,90,HIGH,100,0.82,0.25,2.1
cocoa nibs buy,90,HIGH,100,1.13,0.33,3.76
fair trade cacao powder,90,HIGH,100,1.12,0.36,2.75
healthy cacao nibs,90,MEDIUM,44,1.54,0.05,3.53
organic cacao paste,90,HIGH,100,1.62,0.62,3.04
ceremonial cacao for sale,70,HIGH,100,3.23,0.91,4.45
ceremony cacao,70,HIGH,100,2.15,0.61,2.73
organic cacao butter bulk,70,HIGH,100,3.57,0.92,5
organic fair trade cocoa powder,70,HIGH,97,1.1,0.44,3.71
pure ceremonial cacao,70,HIGH,100,2.58,0.93,3.51
sacred cacao ceremony,70,MEDIUM,51,1.34,0.15,0.86
sacred cocoa,70,HIGH,95,2.23,,
100 cacao nibs,50,HIGH,100,0.8,0.27,2.12
amazon rainforest cacao tree,50,LOW,11,,,
bulk chocolate beans,50,HIGH,100,1.72,0.38,1.69
bulk cocoa beans,50,HIGH,100,1.72,0.38,1.69
buy ceremonial cacao,50,HIGH,100,2.46,0.74,4.2
mayan cacao ceremony,50,MEDIUM,42,1.87,0.23,1.37
pure cacao beans,50,HIGH,97,1.5,0.35,2.33
superfood cacao nibs,50,MEDIUM,63,0.67,,
brazilian cacao,40,HIGH,83,5.6,0.28,4.66
cacao spiritual,40,MEDIUM,52,0.49,0.43,3.91
organic cacao nibs bulk,40,HIGH,100,4.55,1.29,4.41
pure cacao nibs,40,HIGH,98,1.74,0.28,1.74
pure cocoa nibs,40,HIGH,98,1.74,0.28,1.74
raw ceremonial cacao,40,HIGH,100,1.4,0.46,2.83
best organic cacao nibs,30,HIGH,100,0.76,0.2,1.11
buy cocoa powder in bulk,30,HIGH,100,6.27,1.13,5.36
cacao amazon rainforest,30,LOW,19,0.17,,
cacao for ceremony,30,HIGH,100,2,0.61,2.8
cacao nibs to powder,30,HIGH,89,0.38,,
cacao tree amazon rainforest,30,LOW,0,,,
eating cacao beans,30,LOW,3,,,
ethical cocoa powder,30,HIGH,90,0.35,,
fair trade baking cocoa,30,HIGH,100,1.29,0.83,4.47
raw cacao ceremony,30,MEDIUM,63,0.4,,
raw chocolate beans,30,HIGH,89,0.15,0.31,1.6
raw organic cacao paste,30,HIGH,100,0.91,0.48,1.91
roasted cacao beans for sale,30,HIGH,100,0.25,,
100 ceremonial cacao,20,HIGH,85,1.82,0.93,2.34
buy raw cacao beans,20,HIGH,100,0.53,0.22,0.77
buy raw cocoa beans,20,HIGH,100,0.53,0.22,0.77
cacao beans bulk,20,HIGH,100,0.74,0.39,0.77
cacao beans for sale near me,20,HIGH,98,0.39,,
cacao ceremony what is it,20,LOW,21,0.52,0.05,0.28
cacao drinking ceremony,20,HIGH,75,1.02,0.36,2.55
cacao pieces,20,HIGH,100,0.21,,
ceremonial cacao what is it,20,HIGH,86,,,
ceremonial hot chocolate,20,HIGH,91,2.8,0.97,3.96
cocoa powder bulk price,20,HIGH,100,0.54,0.23,2.87
criollo cacao nibs,20,HIGH,100,0.72,0.4,1.71
criollo ceremonial cacao,20,HIGH,100,4.09,1.05,3.29
eating cacao nibs,20,LOW,29,,,
organic cacao chips,20,HIGH,100,2.24,0.3,1.74
organic cacao powder wholesale,20,HIGH,84,5.22,1.89,10
organic chocolate nibs,20,HIGH,100,0.17,,
organic cocoa powder wholesale,20,HIGH,84,5.22,1.89,10
peruvian cacao ceremony,20,HIGH,100,6.87,0.53,1.28
raw cacao powder bulk,20,HIGH,100,2.12,0.2,1.66
trade cocoa,20,HIGH,80,0.02,,
traditional cacao ceremony,20,MEDIUM,35,0.82,,
best cacao for ceremony,10,HIGH,100,3.53,0.6,4.51
best raw cacao nibs,10,HIGH,100,0.59,0.27,0.86
bulk baking cocoa powder,10,HIGH,85,0.87,,
buy cacao nibs online,10,HIGH,100,0.35,,
buy cocoa beans wholesale,10,HIGH,71,3.35,,
buy wholesale cacao beans,10,,,,,
cacao blessings,10,LOW,14,,,
cacao ceremony chocolate,10,HIGH,100,3.45,1.36,3.13
cacao ceremony how to,10,MEDIUM,49,0.75,0.15,1.32
cacao ceremony online,10,HIGH,100,,,
cacao ceremony price,10,LOW,0,,,
cacao drops,10,HIGH,94,0.35,,
cacao for cacao ceremony,10,HIGH,100,1.28,0.32,2.17
cacao nibs 1kg,10,,,,,
cacao nibs brands,10,HIGH,71,,,
cacao nibs co to jest,10,MEDIUM,43,,,
cacao nibs fermented,10,HIGH,100,0.75,,
cacao nibs online,10,HIGH,100,,,
cacao nibs price,10,HIGH,100,,,
cacao nibs shelf life,10,LOW,8,,,
cacao nibs to cacao powder,10,LOW,21,,,
cacao nibs with coconut sugar,10,HIGH,100,,,
cacao paste ceremonial,10,HIGH,75,0.18,,
cacao powder ceremony,10,HIGH,100,0.34,,
cacao sacred,10,HIGH,100,,0.83,1.54
cacao tea ceremony,10,MEDIUM,64,,,
ceremonial cacao 1kg,10,,,,,
ceremonial cacao before bed,10,MEDIUM,48,6.16,,
ceremonial cacao wholesale,10,HIGH,98,7.45,1.61,7.69
ceremonial drinking cacao,10,HIGH,100,9.9,1.08,3.66
ceremonial drinking chocolate,10,HIGH,75,2.41,,
ceremonial raw cacao,10,MEDIUM,57,2.7,,
ceremony cacao buy,10,HIGH,100,3.43,,
cocoa powder wholesale price,10,HIGH,100,5.47,,
cocoa wholesale price,10,LOW,24,2.49,,
crushed cacao nibs,10,HIGH,89,0.34,,
direct trade cacao,10,HIGH,79,,,
eating raw cacao nibs,10,LOW,0,,,
fair trade cacao nibs,10,HIGH,100,1.54,1.13,4.3
fair trade dutch process cocoa,10,HIGH,100,,,
making ceremonial cacao,10,HIGH,83,0.31,0.22,0.54
mama cacao ceremony,10,MEDIUM,34,,,
natural cacao nibs,10,HIGH,100,1,,
organic roasted cacao nibs,10,HIGH,100,2.36,,
organic sweet cacao nibs,10,HIGH,100,0.65,,
peruvian cacao nibs,10,MEDIUM,58,0.46,,
preparing cacao,10,LOW,16,0.17,0.05,0.6
preparing cacao for ceremony,10,MEDIUM,57,0.33,0.22,0.88
preparing ceremonial cacao,10,HIGH,94,1.28,0.16,0.94
raw cacao beans bulk,10,HIGH,100,2.96,,
raw cacao bulk,10,HIGH,100,2.07,1.7,4.54
raw cacao chips,10,HIGH,100,0.69,,
raw cacao nibs bulk,10,HIGH,100,2.96,,
raw cacao nuts,10,HIGH,100,0.36,,
raw cacao wholesale,10,HIGH,100,0.57,,
raw whole cacao beans,10,HIGH,88,0.19,,
regenerative cacao,10,HIGH,100,1.04,0.48,3.59
sacred ceremonial cacao,10,HIGH,100,,,
safest cacao nibs,10,HIGH,100,,,
spiritual cacao,10,HIGH,100,4.25,0.67,3.39
spiritual cacao ceremony,10,HIGH,86,5.01,,
sprouted cacao nib instant oatmeal,10,HIGH,100,0.25,,
sweet nibs,10,LOW,31,,,
the cacao nibs,10,LOW,0,,,
unrefined cocoa nibs,10,HIGH,82,0.52,,
wholesale ceremonial cacao,10,HIGH,100,1.34,0.72,4.66
wholesale price of cocoa beans,10,,,,,
amazon rainforest cacao,,,,,,
ceremonial grade cacao,,,,,,
made by grinding roasted cacao beans,0,,,,,
organic cacao beans non gmo,0,,,,,
